PROPIEDAD,PAIS,CODIGO DANE,CIUDAD
Municipio de Registro,Colombia,5002,Abejorral
Municipio de Registro,Colombia,54003,Abrego
Municipio de Registro,Colombia,5004,Abriaquí
Municipio de Registro,Colombia,50006,Acacías
Municipio de Registro,Colombia,27006,Acandí
Municipio de Registro,Colombia,41006,Acevedo
Municipio de Registro,Colombia,13006,Achí
Municipio de Registro,Colombia,41013,Agrado
Municipio de Registro,Colombia,25001,Agua De Dios
Municipio de Registro,Colombia,20011,Aguachica
Municipio de Registro,Colombia,68013,Aguada
Municipio de Registro,Colombia,17013,Aguadas
Municipio de Registro,Colombia,85010,Aguazul
Municipio de Registro,Colombia,20013,Agustín Codazzi
Municipio de Registro,Colombia,41016,Aipe
Municipio de Registro,Colombia,25019,Albán
Municipio de Registro,Colombia,52019,Albán
Municipio de Registro,Colombia,18029,Albania
Municipio de Registro,Colombia,44035,Albania
Municipio de Registro,Colombia,68020,Albania
Municipio de Registro,Colombia,76020,Alcalá
Municipio de Registro,Colombia,52022,Aldana
Municipio de Registro,Colombia,5021,Alejandría
Municipio de Registro,Colombia,47030,Algarrobo
Municipio de Registro,Colombia,41020,Algeciras
Municipio de Registro,Colombia,19022,Almaguer
Municipio de Registro,Colombia,15022,Almeida
Municipio de Registro,Colombia,73024,Alpujarra
Municipio de Registro,Colombia,41026,Altamira
Municipio de Registro,Colombia,27025,Alto Baudo
Municipio de Registro,Colombia,13030,Altos Del Rosario
Municipio de Registro,Colombia,73026,Alvarado
Municipio de Registro,Colombia,5030,Amagá
Municipio de Registro,Colombia,5031,Amalfi
Municipio de Registro,Colombia,73030,Ambalema
Municipio de Registro,Colombia,25035,Anapoima
Municipio de Registro,Colombia,52036,Ancuyá
Municipio de Registro,Colombia,76036,Andalucía
Municipio de Registro,Colombia,5034,Andes
Municipio de Registro,Colombia,5036,Angelópolis
Municipio de Registro,Colombia,5038,Angostura
Municipio de Registro,Colombia,25040,Anolaima
Municipio de Registro,Colombia,5040,Anorí
Municipio de Registro,Colombia,17042,Anserma
Municipio de Registro,Colombia,76041,Ansermanuevo
Municipio de Registro,Colombia,5044,Anza
Municipio de Registro,Colombia,73043,Anzoátegui
Municipio de Registro,Colombia,5045,Apartadó
Municipio de Registro,Colombia,66045,Apía
Municipio de Registro,Colombia,25599,Apulo
Municipio de Registro,Colombia,15047,Aquitania
Municipio de Registro,Colombia,47053,Aracataca
Municipio de Registro,Colombia,17050,Aranzazu
Municipio de Registro,Colombia,68051,Aratoca
Municipio de Registro,Colombia,81001,Arauca
Municipio de Registro,Colombia,81065,Arauquita
Municipio de Registro,Colombia,25053,Arbeláez
Municipio de Registro,Colombia,52051,Arboleda
Municipio de Registro,Colombia,54051,Arboledas
Municipio de Registro,Colombia,5051,Arboletes
Municipio de Registro,Colombia,15051,Arcabuco
Municipio de Registro,Colombia,13042,Arenal
Municipio de Registro,Colombia,5055,Argelia
Municipio de Registro,Colombia,19050,Argelia
Municipio de Registro,Colombia,76054,Argelia
Municipio de Registro,Colombia,47058,Ariguaní
Municipio de Registro,Colombia,13052,Arjona
Municipio de Registro,Colombia,5059,Armenia
Municipio de Registro,Colombia,63001,Armenia
Municipio de Registro,Colombia,73055,Armero
Municipio de Registro,Colombia,13062,Arroyohondo
Municipio de Registro,Colombia,20032,Astrea
Municipio de Registro,Colombia,73067,Ataco
Municipio de Registro,Colombia,27050,Atrato
Municipio de Registro,Colombia,23068,Ayapel
Municipio de Registro,Colombia,27073,Bagadó
Municipio de Registro,Colombia,27075,Bahía Solano
Municipio de Registro,Colombia,27077,Bajo Baudó
Municipio de Registro,Colombia,19075,Balboa
Municipio de Registro,Colombia,66075,Balboa
Municipio de Registro,Colombia,8078,Baranoa
Municipio de Registro,Colombia,41078,Baraya
Municipio de Registro,Colombia,52079,Barbacoas
Municipio de Registro,Colombia,5079,Barbosa
Municipio de Registro,Colombia,68077,Barbosa
Municipio de Registro,Colombia,68079,Barichara
Municipio de Registro,Colombia,50110,Barranca De Upía
Municipio de Registro,Colombia,68081,Barrancabermeja
Municipio de Registro,Colombia,44078,Barrancas
Municipio de Registro,Colombia,13074,Barranco De Loba
Municipio de Registro,Colombia,94343,Barranco Minas
Municipio de Registro,Colombia,8001,Barranquilla
Municipio de Registro,Colombia,20045,Becerril
Municipio de Registro,Colombia,17088,Belalcázar
Municipio de Registro,Colombia,15087,Belén
Municipio de Registro,Colombia,52083,Belén
Municipio de Registro,Colombia,27086,Belén De Bajirá
Municipio de Registro,Colombia,18094,Belén De Los Andaquies
Municipio de Registro,Colombia,66088,Belén De Umbría
Municipio de Registro,Colombia,5088,Bello
Municipio de Registro,Colombia,5086,Belmira
Municipio de Registro,Colombia,25086,Beltrán
Municipio de Registro,Colombia,15090,Berbeo
Municipio de Registro,Colombia,5091,Betania
Municipio de Registro,Colombia,15092,Betéitiva
Municipio de Registro,Colombia,5093,Betulia
Municipio de Registro,Colombia,68092,Betulia
Municipio de Registro,Colombia,25095,Bituima
Municipio de Registro,Colombia,15097,Boavita
Municipio de Registro,Colombia,54099,Bochalema
Municipio de Registro,Colombia,11001,Bogotá
Municipio de Registro,Colombia,25099,Bojacá
Municipio de Registro,Colombia,27099,Bojaya
Municipio de Registro,Colombia,19100,Bolívar
Municipio de Registro,Colombia,68101,Bolívar
Municipio de Registro,Colombia,76100,Bolívar
Municipio de Registro,Colombia,20060,Bosconia
Municipio de Registro,Colombia,15104,Boyacá
Municipio de Registro,Colombia,5107,Briceño
Municipio de Registro,Colombia,15106,Briceño
Municipio de Registro,Colombia,68001,Bucaramanga
Municipio de Registro,Colombia,54109,Bucarasica
Municipio de Registro,Colombia,76109,Buenaventura
Municipio de Registro,Colombia,15109,Buenavista
Municipio de Registro,Colombia,23079,Buenavista
Municipio de Registro,Colombia,63111,Buenavista
Municipio de Registro,Colombia,70110,Buenavista
Municipio de Registro,Colombia,19110,Buenos Aires
Municipio de Registro,Colombia,52110,Buesaco
Municipio de Registro,Colombia,76113,Bugalagrande
Municipio de Registro,Colombia,5113,Buriticá
Municipio de Registro,Colombia,15114,Busbanzá
Municipio de Registro,Colombia,25120,Cabrera
Municipio de Registro,Colombia,68121,Cabrera
Municipio de Registro,Colombia,50124,Cabuyaro
Municipio de Registro,Colombia,94886,Cacahual
Municipio de Registro,Colombia,5120,Cáceres
Municipio de Registro,Colombia,25123,Cachipay
Municipio de Registro,Colombia,54128,Cachirá
Municipio de Registro,Colombia,54125,Cácota
Municipio de Registro,Colombia,5125,Caicedo
Municipio de Registro,Colombia,76122,Caicedonia
Municipio de Registro,Colombia,70124,Caimito
Municipio de Registro,Colombia,73124,Cajamarca
Municipio de Registro,Colombia,19130,Cajibío
Municipio de Registro,Colombia,25126,Cajicá
Municipio de Registro,Colombia,13140,Calamar
Municipio de Registro,Colombia,95015,Calamar
Municipio de Registro,Colombia,63130,Calarca
Municipio de Registro,Colombia,5129,Caldas
Municipio de Registro,Colombia,15131,Caldas
Municipio de Registro,Colombia,19137,Caldono
Municipio de Registro,Colombia,76001,Cali
Municipio de Registro,Colombia,68132,California
Municipio de Registro,Colombia,76126,Calima
Municipio de Registro,Colombia,19142,Caloto
Municipio de Registro,Colombia,5134,Campamento
Municipio de Registro,Colombia,8137,Campo De La Cruz
Municipio de Registro,Colombia,41132,Campoalegre
Municipio de Registro,Colombia,15135,Campohermoso
Municipio de Registro,Colombia,23090,Canalete
Municipio de Registro,Colombia,8141,Candelaria
