PROPIEDAD,NOMBRE,
Linea,"1,6",
Linea,2,
Linea,3,
Linea,5,
Linea,7,
Linea,33,
Linea,100,
Linea,110,
Linea,121,
Linea,125,
Linea,159,
Linea,200,
Linea,220,
Linea,230,
Linea,240,
Linea,246,
Linea,250,
Linea,280,
Linea,300,
Linea,304,
Linea,329,
Linea,348,
Linea,350,
Linea,355,
Linea,357,
Linea,367,
Linea,378,
Linea,407,
Linea,416,
Linea,430,
Linea,458,
Linea,490,
Linea,504,
Linea,550,
Linea,600,
Linea,604,
Linea,630,
Linea,697,
Linea,700,
Linea,744,
Linea,750,
Linea,820,
Linea,854,
Linea,900,
Linea,906,
Linea,924,
Linea,926,
Linea,929,
Linea,930,
Linea,940,
Linea,1000,
Linea,1001,
Linea,1100,
Linea,1204,
Linea,1300,
Linea,1310,
Linea,1410,
Linea,1502,
Linea,1602,
Linea,1700,
Linea,1731,
Linea,1802,
Linea,2000,
Linea,2008,
Linea,2104,
Linea,2141,
Linea,2410,
Linea,2500,
Linea,2674,
Linea,2961,
Linea,3000,
Linea,3205,
Linea,3700,
Linea,4000,
Linea,4400,
Linea,4700,
Linea,4900,
Linea,4910,
Linea,5500,
Linea,5600,
Linea,5700,
Linea,5998,
Linea,6000,
Linea,7000,
Linea,7400,
Linea,7500,
Linea,9400,
Linea,17210,
Linea,54112,
Linea,220306,
Linea,"2,60E+32",
Linea,0400 UPA,
Linea,0500M,
Linea,1 (LINEA BASE ESTANDAR),
Linea,1 ALLEGRO 1AAN6M,
Linea,1 CONFORT MT,
Linea,1 DELUXE MT,
Linea,1 SCR MT,
Linea,1 STD MT,
Linea,100 C3 2.3 AT,
Linea,100 C4 2.8 V6 MT,
Linea,100 GY- C MT,
Linea,1000 BIG HORN,
Linea,1001/5700,
Linea,1050 ADVENTURE MT,
Linea,106 (LINEA BASE ESTANDAR),
Linea,106 RALLY MT,
Linea,106 S16 3P MT,
Linea,106 XN MT,
Linea,106 XNA MT,
Linea,107 1.0L 5P MT,
Linea,10703 E63 WIDESIDE,
Linea,1088 6X4 MT,
Linea,1088/50,
Linea,110 L,
Linea,1100 (LINEA BASE ESTANDAR),
Linea,1102 1102 MT,
Linea,113 (Escarabajo),
Linea,113/1300,
Linea,114i F21 3P MT,
Linea,116i (LINEA BASE ESTANDAR),
Linea,116i E81 3P MT,
Linea,116i E81 Sport 3P MT,
Linea,116i E87 5P MT,
Linea,116i F20 Sport Line 5P MT,
Linea,116i F20 Standard 5P MT,
Linea,116i F20 Standard 5P TP,
Linea,116i F20 Urban Line 5P TP,
Linea,116i F21 3P MT,
Linea,116i F21 Sport Line 3P TP,
Linea,118d E87 MT,
Linea,118I,
Linea,118i (LINEA BASE ESTANDAR),
Linea,118i F20 Sport Line 5P MT,
Linea,118i F20 Sport Line 5P TP,
Linea,118i F20 Standard M 5P MT,
Linea,118i F20 Standard M 5P TP,
Linea,1190 ADVENTURE (LINEA BASE ESTANDAR),
Linea,1190 ADVENTURE MT,
Linea,1190 ADVENTURE R MT,
Linea,120d (LINEA BASE ESTANDAR),
Linea,120d E87 MT,
Linea,120d E87 TP,
Linea,120d F20 Sport Line MT,
Linea,120i,
Linea,120i (LINEA BASE ESTANDAR),
Linea,120I CONFORT,
Linea,120i E81 3P MT,
Linea,120i E82 COUPE MT,
Linea,120i E82 COUPE TP,
Linea,120i E87 5P AT,
Linea,120i E87 SPORT 5P MT,
Linea,120i E88 CABRIOLET 2P MT,
Linea,120i E88 CABRIOLET 2P TP,
Linea,120i Edición M,
Linea,120i F20 LCI M Edition 5P TP,
Linea,120I TP,
Linea,121 LX MT,
Linea,125 ENDURO MT,
Linea,125 GY (LINEA BASE ESTANDAR),
Linea,125 GY MT,
Linea,125 GY3A MT,
Linea,125 NS,
Linea,125 ST R PRO,
Linea,125 SX MT,
Linea,125 T-7 AT,
Linea,125 W MT,
Linea,125i (LINEA BASE ESTANDAR),
Linea,125i E82 COUPE 2P MT,
Linea,125i E82 COUPE 2P TP,
Linea,128 L,
Linea,128i E88 CABRIOLET TP,
Linea,1290 (LINEA BASE ESTANDAR),
Linea,1290 SUPER ADVENTURE MT,
Linea,1290 SUPER DUKE R MT,
Linea,1290 SUPERDUKER R,
Linea,1307 1307 MT,
Linea,1307 L,
Linea,130i (LINEA BASE ESTANDAR),
Linea,130i E87 5P AT,
Linea,130i E87 5P MT,
Linea,131 MIRAFIORI 4P MT,
Linea,131 PANORAMA MT,
Linea,132 GLS 4P MT,
Linea,132 M,
Linea,135i (LINEA BASE ESTANDAR),
Linea,135i E82 COUPE 2P MT,
Linea,135i E82 COUPE 2P TP,
Linea,135i E88 CABRIOLET 2P TP,
