PROPIEDAD,TIPO DE VEHICULO ,MARCA,NOMBRE,
Linea,MOTOCICLETA,ACB,ACB 125 MT,
Linea,MOTOCICLETA,ACB,B-STRONG 110 MT,
Linea,MOTOCICLETA,ACB,FORTRESS 125 AT,
Linea,MOTOCICLETA,ACB,MONTANA 200 MT,
Linea,MOTOCICLETA,ACB,TORNADO 200 MT,
Linea,AUTOMOVIL,ACCURA,ACURA,
Linea,MOTOCICLETA,ACCURO,AC200,
Linea,MOTOCICLETA,ACE MOTOR,150T-6,
Linea,MOTOCICLETA,ACE MOTOR,AC200GY-5,
Linea,MOTOCICLETA,ACE MOTOR,CHY250Z,
Linea,MOTOCICLETA,ACM ANGEL´S,CUSTOM BIG BUICK,
Linea,AUTOMOVIL,ACURA,INTEGRA (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,ACURA,INTEGRA 1.8 2P MT,
Linea,AUTOMOVIL,ACURA,INTEGRA 1.8 VTEC 4P MT,
Linea,AUTOMOVIL,ACURA,LEGEND KA766P-L,
Linea,AUTOMOVIL,ACURA,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,AUTOMOVIL,ACURA,NSX COUPE,
Linea,AUTOMOVIL,ACURA,TL 2.5L AT,
Linea,AUTOMOVIL,ACURA,TL 3.2L AT,
Linea,AUTOMOVIL,ACURA,TSX 2.4 L AT,
Linea,CAMIONETA,ACURA,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,ACURA,MDX,
Linea,CAMIONETA,ACURA,MDX TOURING 4X4 AT,
Linea,MOTOCICLETA,AG,BWK 150 AT,
Linea,MOTOCICLETA,AG,DD300,
Linea,MOTOCICLETA,AG,ELEGANCE 300 AT,
Linea,MOTOCICLETA,AG,HARLY 300 MT,
Linea,MOTOCICLETA,AG,POWER 100 MT,
Linea,MOTOCICLETA,AG,POWER 150 MT,
Linea,BUS,AGRALE,AGRALE MA 8.5 TCA,
Linea,BUS,AGRALE,MA (LINEA BASE ESTANDAR),
Linea,BUS,AGRALE,MA (LINEA BASE ESTANDAR),
Linea,BUS,AGRALE,MA 8.5 TCA 4X2 MT,
Linea,BUS,AGRALE,MA 8.7 3.8L 4X2 MT,
Linea,BUS,AGRALE,MA 9.0 TCA 4X2 MT,
Linea,BUS,AGRALE,MA 9.0 TCE Electronico 4X2 MT,
Linea,BUS,AGRALE,MA 9.0 TCE Electronico 4X2 MT,
Linea,BUS,AGRALE,MA 9.6,
Linea,BUS,AGRALE,"8,5 TCA",
Linea,BUS,AGRALE,TCA PLUS,
Linea,BUSETA,AGRALE,MA (LINEA BASE ESTANDAR),
Linea,BUSETA,AGRALE,MA 7.0 TCA 4X2 MT,
Linea,BUSETA,AGRALE,MA 8.5 TCA 4X2 MT,
Linea,BUSETA,AGRALE,MA 8.5 TCA PLUS E,
Linea,MICROBUS,AGRALE,MA 6.0 TCA 4X2 MT,
Linea,MICROBUS,AGRALE,MA 7.0 TCA 4X2 MT,
Linea,MICROBUS,AGRALE,MA 8.7 3.8L 4X2 MT,
Linea,CAMION,AGRALE,8500T (LINEA BASE ESTANDAR),
Linea,CAMION,AGRALE,8500T TCA 4X2 MT,
Linea,CAMION,AGRALE,8500T TCA ASL 4X2 MT,
Linea,CAMION,AGRALE,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CUATRIMOTO,AKT,ATV 200R,
Linea,CUATRIMOTO,AKT,ATV 250 F2,
Linea,CUATRIMOTO,AKT,ATV 300R,
Linea,CUATRIMOTO,AKT,ATV230,
Linea,MOTOCARRO,AKT,AK 200ZW,
Linea,MOTOCARRO,AKT,AK200ZW,
Linea,MOTOCARRO,AKT,AKT 180 ZW,
Linea,MOTOCARRO,AKT,AKT-3W,
Linea,MOTOCARRO,AKT,AKT-3W 200,
Linea,MOTOCARRO,AKT,BIZON 200R MT,
Linea,MOTOCARRO,AKT,CARGUERO (LINEA BASE ESTANDAR),
Linea,MOTOCARRO,AKT,CARGUERO 175 MT,
